[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | SQL: SELECT * FROM `wl_index_user` ORDER BY adopt LIMIT 10   [ RunTime:0.001000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_template ] --START--
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run ParseTemplate Behavior [ RunTime:0.044003s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044003s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run ContentReplace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_end ] --START--
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:42+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ route_check ] --START--
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ app_begin ] --START--
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2016-06-23T00:03:57+08:00 ] /QA/index.php/index/index/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003000s ]
[ 2016-06-23T00:03:58+08:00 ] /QA/index.php/index/index/index | SQL: SHOW COLUMNS FROM `wl_category` [ RunTime:0.008001s ]
[ 2016-06-23T00:03:58+08:00 ] /QA/index.php/index/index/index | SQL: SELECT * FROM `wl_category` WHERE ( `pid` = 0 )  [ RunTime:0.001000s ]
